song_id,title,artist,found,spotify_id,popularity,duration_ms,explicit,release_date,tempo,danceability,energy,valence,acousticness,speechiness,instrumentalness,liveness,loudness,key,mode,time_signature
DP_03,Around the World,Daft Punk,True,1pKYYY0dkg23sQQXi0Q5zN,77,429533,False,1997-01-17,,,,,,,,,,,,
DP_04,One More Time,Daft Punk,True,0DiWol3AO6WpXZgp0goxAV,84,320357,False,2001-03-12,,,,,,,,,,,,
DP_05,Instant Crush,Daft Punk,True,2cGxRwrMyEAp8dEbuZaVv6,79,337560,False,2013-05-20,,,,,,,,,,,,
DP_06,Lose Yourself to Dance,Daft Punk,True,5CMjjywI0eZMixPeqNd75R,71,353893,False,2013-05-20,,,,,,,,,,,,
DP_07,Something About Us,Daft Punk,True,1NeLwFETswx8Fzxl2AFl91,77,232666,False,2001-03-12,,,,,,,,,,,,
DP_08,Digital Love,Daft Punk,True,2VEZx7NWsZ1D0eJ4uv5Fym,73,301373,False,2001-03-12,,,,,,,,,,,,
DP_09,Within,Daft Punk,True,7Bxv0WL7UC6WwQpk9TzdMJ,59,228506,False,2013-05-20,,,,,,,,,,,,
DP_10,Give Life Back to Music,Daft Punk,True,0dEIca2nhcxDUV8C5QkPYb,64,275386,False,2013-05-20,,,,,,,,,,,,
DP_11,Fragments of Time,Daft Punk,True,0IedgQjjJ8Ad4B3UDQ5Lyn,62,279773,False,2013-05-20,,,,,,,,,,,,
DP_12,Human After All,Daft Punk,True,3aByRUC2BVL6Fs1zI723sd,53,319879,False,2005-03-14,,,,,,,,,,,,
DP_13,Technologic,Daft Punk,True,0LSLM0zuWRkEYemF7JcfEE,56,284280,False,2005-03-14,,,,,,,,,,,,
DP_14,Touch,Daft Punk,True,7oaEjLP2dTJLJsITbAxTOz,63,498960,False,2013-05-20,,,,,,,,,,,,
DP_15,Voyager,Daft Punk,True,7cMFjxhbXBpOlais7KMF3j,73,227866,False,2001-03-12,,,,,,,,,,,,
DR_01,God's Plan,Drake,True,6DCZcSspjsKoFjzjrWoCdn,86,198973,True,2018-06-29,,,,,,,,,,,,
